step size,accuracies_1024,accuracies_512,accuracies_1024_2,accuracies_2048
24,0.055604000000000001,0.054716000000000001,0.044560407199999999,0.056425507200000002
20,-0.39259600000000000,-0.39469100000000001,-0.36809269280000001,-0.39455169280000002
15,-0.20918900000000001,-0.2097810000,-0.22092369279999999,-0.21031869280000001
12,-0.12541600000000000,-0.1243540000,-0.11994969279999999,-0.1258306928
10,-0.083859000000000003,-0.084708000000000006,-0.076312692799999998,0.083713692800000003
8,-0.051853000000000003,-0.051237999999999999,-0.045173692799999998,-0.051651692800000003
6,-0.027373000000000001,-0.029595000000000000,-0.037048692799999998,-0.028198692800000001
5,-0.019313000000000000,-0.0218150000,-0.0236671928,-0.019335692799999998
4,-0.011297000000000000,-0.0140390000,-0.0075127928000000002,-0.0126089928
3,-0.0060159999999999996,-0.0047010000000000003,-0.0095668928000000007,-0.0068355928
2,-0.0019109999999999999,-0.0018750000,-0.0012135927999999999,-0.0026718928000000002
1,0.00038800000000000000,-0.0018750000,-0.00048289280000000001,-0.00031679279999999999
0.5,-0.00077099999999999998,0.0014920000,-8.8392800000000005e-05,
